Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,同意声明点击同意✔的同时，您并没有放弃您的合法权益，研究者和瑞尔森大学仍受法律责任和专业义务的管制。 本人已阅读并理解以上信息。本人知道可以在任何时间，不需经任何同意的情况下退出此研究，关闭浏览器即可。,,我认为产品商标上的环保标志是很重要的。,我比较相信产品商标上的环保信息。,我理解环保认证的概念。,我相信个人可以做许多事情来改善环境。,我相信企业、公司可以做很多事情来改善环境。,我认为有必要对时尚产品进行环保认证。,我相信环保认证对买家是有帮助的。,如果可以的话，我会寻求有环保认证的衣服。,只要有可能，我就会购买我认为环保的产品。,我愿意为环保产品付更高的价钱。,我愿意为有环保认证的衣服支付额外费用。,我做好了为环保产品支付更高价格的准备。,我愿意用减少消费支出的方式来保护环境。,保护自然环境提高了我的生活质量。,当我在两件相同的衣服中做选择时，我会买对他人和环境更无害的那一件。,我会避免购买对环境有潜在伤害性的衣服。,支持环境保护这件事使我更加致力于环境保护。,比起其他任何类型的衣服，我更愿意把钱花在生态友好型的衣服上。,我认为生态友好型服装的价格通常高于平均值。,我更喜欢购买环保服装，即使它更贵一些。,我相信一个具有经认证环保标签的服装品牌，是一个被社会所接受的购买品牌。,我宁愿坚持一个众所周知的传统服装品牌，也不愿意尝试生态友好型品牌。,如果我喜欢一个品牌，我不会为了尝试新鲜物品，而轻易去改变对这个品牌的喜爱。,如果环保型服装不是品牌服饰，那对我来说都没什么差别。,我认为环保型服饰，例如有机棉，比传统服饰更具时尚感。,我相信环保服装的质量通常高于其他服装。,我相信国家会对环境产生积极的影响。,支持环境保护让我更具有社会责任感。,我对购买环保服装感到满意，因此我也会购买这种服装。,你认识以下这些流行的纺织品环保标签吗？,,,,,,,以下因素对你的服装购买决策有多重要？,,,,,,,,,,,,,通常我都是我朋友圈里最后一个知道最新设计师和时尚潮流的人。,和我的朋友们相比，我很少买新的流行款式。,通常我都是我朋友圈中最后一个购买新时尚款式的人。,我比其他人更先了解新的时尚款式。,如果我听说了新的时装款式或造型，并且知道可以通过当地的精品店或百货商店买到它们，我会很有兴趣去买。,我会考虑购买新的时尚款式，即使是我之前没有听说过的。,以下因素对你的服装购买决策有多重要？,,,,,,,,你每年花多少钱在服装上？,你的就业状况如何？,性別,你的每年收入水平属于以下哪一栏（以家庭为单位）,你的年龄是?,你的最高学历是什么？,你的婚姻状况如何？
,,,,,,,,,同意,不同意,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/Fairtrade_Certification_Mark.svg/480px-Fairtrade_Certification_Mark.svg.png,https://landleder.de/website/images/care%20logo%20klein%20copy.jpg,https://oecotextiles.files.wordpress.com/2011/08/gots-logo1.jpg,https://www.fairwear.org/wp-content/themes/fairwear/dist/img/fair-wear-foundation-logo.png,https://cleanclothes.org/about/CleanClothesCampaignLogo.jpg,https://i1.wp.com/ohganix.com/wp-content/uploads/2016/03/Oekotex-Symbol-English-w-transparent-background-copy1.jpg,以上一個也沒聽說過,是否合身,舒适度,纤维/材质,做工质量,服装寿命 (可回收/可再生/处理),颜色,样式,品牌,价格,原产地,持久性,认证环保标志,认证道德标志(血汗工厂/黑工厂产品),Response,Response,Response,Response,Response,Response,用水更少,空气质量,能源使用更少,工人的安全,合理的薪水,没有使用童工,没有动物皮毛,是否可循环,Response,Response,Response,Response,Response,Response,Response
11275167747,214327343,01/15/2020 02:38:38 AM,01/15/2020 02:40:13 AM,112.96.195.14,,,,,同意,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11171059096,214327343,11/25/2019 03:51:52 AM,11/25/2019 04:01:11 AM,223.104.63.51,,,,,同意,,同意,同意,同意,同意,同意,同意,同意,完全同意,同意,同意,保持中立,同意,完全同意,同意,同意,保持中立,同意,同意,同意,同意,完全同意,完全同意,完全同意,同意,完全同意,同意,同意,同意,同意,,,https://oecotextiles.files.wordpress.com/2011/08/gots-logo1.jpg,,,,,重要,重要,非常重要,非常重要,非常重要,非常重要,非常重要,非常重要,非常重要,非常重要,非常重要,非常重要,非常重要,完全同意,完全同意,完全同意,完全同意,完全同意,完全同意,非常重要,非常重要,非常重要,非常重要,非常重要,非常重要,非常重要,非常重要,少于我收入的5%,学生,女,"少于 20,000元",18-24,大专文凭,其他
11150982414,214327343,11/17/2019 11:16:20 AM,11/17/2019 11:17:10 AM,112.97.179.163,,,,,同意,,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11150907633,214327343,11/17/2019 10:06:12 AM,11/17/2019 10:17:58 AM,223.104.63.58,,,,,同意,,完全同意,同意,完全同意,完全同意,同意,完全同意,完全同意,完全同意,完全同意,同意,同意,同意,完全同意,完全同意,完全同意,完全同意,完全同意,完全同意,完全同意,同意,完全同意,保持中立,保持中立,保持中立,同意,保持中立,完全同意,同意,同意,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/Fairtrade_Certification_Mark.svg/480px-Fairtrade_Certification_Mark.svg.png,https://landleder.de/website/images/care%20logo%20klein%20copy.jpg,https://oecotextiles.files.wordpress.com/2011/08/gots-logo1.jpg,,https://cleanclothes.org/about/CleanClothesCampaignLogo.jpg,https://i1.wp.com/ohganix.com/wp-content/uploads/2016/03/Oekotex-Symbol-English-w-transparent-background-copy1.jpg,,非常重要,非常重要,非常重要,非常重要,非常重要,非常重要,非常重要,重要,重要,一般重要,非常重要,非常重要,非常重要,不同意,不同意,不同意,同意,同意,同意,重要,非常重要,非常重要,重要,非常重要,重要,重要,非常重要,收入的11%-15%,学生,男,"少于 20,000元",18-24,大专文凭,单身
11150856176,214327343,11/17/2019 09:14:57 AM,11/17/2019 09:17:55 AM,119.124.2.34,,,,,同意,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11150777457,214327343,11/17/2019 07:55:16 AM,11/17/2019 08:05:03 AM,172.104.173.208,,,,,同意,,同意,保持中立,同意,保持中立,保持中立,完全同意,同意,同意,同意,保持中立,保持中立,保持中立,保持中立,同意,保持中立,保持中立,同意,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,同意,保持中立,保持中立,,,,,,,以上一個也沒聽說過,重要,重要,重要,重要,重要,重要,重要,不重要,重要,不重要,重要,一般重要,一般重要,保持中立,同意,同意,不同意,保持中立,保持中立,重要,重要,一般重要,非常重要,非常重要,非常重要,重要,非常重要,收入的11%-15%,学生,男,"40,000元至 59,999元",18-24,学士学位,单身
11150685866,214327343,11/17/2019 06:06:46 AM,11/17/2019 06:07:38 AM,119.124.3.225,,,,,,不同意,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11150681845,214327343,11/17/2019 06:01:22 AM,11/17/2019 06:20:20 AM,117.136.40.49,,,,,同意,,保持中立,保持中立,同意,同意,完全同意,保持中立,保持中立,同意,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,同意,保持中立,同意,保持中立,不同意,保持中立,同意,保持中立,保持中立,,,https://oecotextiles.files.wordpress.com/2011/08/gots-logo1.jpg,,,,,重要,非常重要,一般重要,非常重要,非常重要,重要,非常重要,非常重要,重要,非常重要,非常重要,非常重要,一般重要,同意,同意,同意,保持中立,保持中立,保持中立,非常重要,非常重要,重要,非常重要,非常重要,一般重要,一般重要,非常重要,收入的5%-10%,学生,男,"少于 20,000元",18-24,大专文凭,单身
11150480703,214327343,11/17/2019 01:40:52 AM,11/17/2019 01:44:43 AM,112.97.61.156,,,,,同意,,同意,保持中立,保持中立,完全同意,同意,同意,同意,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,保持中立,,,https://oecotextiles.files.wordpress.com/2011/08/gots-logo1.jpg,,,,,重要,非常重要,一般重要,非常重要,非常重要,非常重要,非常重要,非常重要,非常重要,非常重要,非常重要,非常重要,非常重要,完全同意,完全同意,完全同意,完全同意,保持中立,保持中立,一般重要,一般重要,一般重要,一般重要,非常重要,非常重要,非常重要,非常重要,少于我收入的5%,学生,女,"少于 20,000元",18-24,大专文凭,单身
11150447469,214327343,11/17/2019 12:42:24 AM,11/17/2019 12:52:49 AM,223.104.1.19,,,,,同意,,完全同意,保持中立,同意,完全同意,完全同意,同意,保持中立,完全同意,同意,保持中立,同意,保持中立,保持中立,保持中立,保持中立,同意,同意,保持中立,保持中立,不同意,不同意,保持中立,保持中立,不同意,保持中立,保持中立,保持中立,保持中立,保持中立,,,https://oecotextiles.files.wordpress.com/2011/08/gots-logo1.jpg,,,,,非常重要,一般重要,一般重要,非常重要,一般重要,一般重要,一般重要,完全不重要,非常重要,完全不重要,一般重要,一般重要,一般重要,完全同意,完全同意,完全同意,不同意,完全不同意,不同意,一般重要,一般重要,一般重要,一般重要,一般重要,一般重要,一般重要,一般重要,少于我收入的5%,学生,男,"于200,000元",18-24,大专文凭,其他
11150411875,214327343,11/16/2019 11:44:19 PM,11/16/2019 11:59:38 PM,112.97.165.49,,,,,同意,,完全同意,保持中立,保持中立,保持中立,保持中立,完全同意,同意,同意,保持中立,保持中立,不同意,保持中立,同意,保持中立,不同意,同意,保持中立,保持中立,不同意,不同意,同意,不同意,保持中立,不同意,不同意,不同意,保持中立,保持中立,不同意,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/Fairtrade_Certification_Mark.svg/480px-Fairtrade_Certification_Mark.svg.png,,https://oecotextiles.files.wordpress.com/2011/08/gots-logo1.jpg,,https://cleanclothes.org/about/CleanClothesCampaignLogo.jpg,,,重要,非常重要,重要,非常重要,重要,非常重要,非常重要,一般重要,重要,一般重要,一般重要,不重要,非常重要,保持中立,同意,保持中立,不同意,不同意,保持中立,不重要,不重要,不重要,非常重要,重要,重要,非常重要,重要,收入的5%-10%,学生,女,"少于 20,000元",18-24,大专文凭,单身
